name,value,,
0000_0_oben,-2.17675,,
0000_2_oben,-2.154,-0.02275,
0400_0_oben,-2.087,,
0400_1_oben,-2.2625,,
0400_2_oben,-2.29725,0.21025,
0800_0_oben,-2.10725,,
0800_2_oben,-2.356,0.24875,
0800_2_oben2,-2.328625,,
1200_0_oben,-2.20425,,
1200_2_oben,-2.522,0.31775,
1200_2_oben2,-2.50275,,
1600_0_oben,-2.10825,,
1600_2_oben,-2.453375,0.345125,
1600_2_oben2,-2.44525,,
2000_0_oben,-2.206,,
2000_0_oben2,-2.376375,,
2000_1_oben2,-2.76525,,
2000_2_oben,-2.682375,0.476375,
2000_2_oben2,-2.765875,,
2400_0_oben,-2.14075,,0.000625
2400_2_oben,-2.68375,0.543,
2800_0_oben,-2.12575,,
2800_2_oben,-2.685,0.55925,
3200_0_oben,-2.2695,,
3200_2_oben,-2.84475,0.57525,
3600_0_oben,-2.126375,,
3600_2_oben,-2.666375,0.54,
4000_0_oben,-2.206,,
4000_2_oben,-2.77875,0.57275,
